SRCE_KEY,LVL1_KEY,LVL2_KEY,LVL3_KEY,ACCT_ID,ORG_ID,PROJ_ID,FY_CD,PD_NO,SUB_PD_NO,S_JNL_CD,POST_SEQ_NO,AMT,HRS,MODIFIED_BY,TIME_STAMP,ROWVERSION,COMPANY_ID
30,207,1155,0,0415-000,1.01.01,000400.BON,2016,1,1,LD,2,26500,0,49301.ISMAIL.MARMAR,2016-04-07,0,1
30,131,1137,0,0488-000,1.01.01,000400.BON,2016,1,1,LD,2,1500,0,49301.ISMAIL.MARMAR,2016-04-07,0,1
30,214,778,0,0500-100,1.01.01,000501.000.000,2016,1,1,LD,2,931.44,17.5,49301.ISMAIL.MARMAR,2016-04-07,0,1
30,188,710,0,0500-100,1.01.01,000501.000.002,2016,1,1,LD,2,139.67,3,49301.ISMAIL.MARMAR,2016-04-07,0,1
30,196,734,0,0500-100,1.01.01,000501.000.003,2016,1,1,LD,2,28370.69,318,49301.ISMAIL.MARMAR,2016-04-07,0,1
30,211,773,0,0500-100,1.01.01,000501.000.004,2016,1,1,LD,2,608.76,13.5,49301.ISMAIL.MARMAR,2016-04-07,0,1
30,205,759,0,0500-100,1.01.01,000501.000.005.002,2016,1,1,LD,2,187.35,6,49301.ISMAIL.MARMAR,2016-04-07,0,1
30,131,510,0,0500-100,1.01.01,000501.000.005.004,2016,1,1,LD,2,494.51,8,49301.ISMAIL.MARMAR,2016-04-07,0,1
30,140,544,0,0500-100,1.01.01,000501.000.006,2016,1,1,LD,2,10107.4,151,49301.ISMAIL.MARMAR,2016-04-07,0,1
30,185,1159,0,0517-115,1.01,000501.000.000,2016,1,1,LD,2,1350,0,49301.ISMAIL.MARMAR,2016-04-07,0,1
30,113,391,0,0800-000,1.01.01,000800.00A,2016,1,1,LD,2,6250,88,49301.ISMAIL.MARMAR,2016-04-07,0,1
30,326,1123,0,0800-000,1.01.01,000800.00E,2016,1,1,LD,2,20227.28,160,49301.ISMAIL.MARMAR,2016-04-07,0,1
30,153,578,0,0800-000,1.01.01,000800.00F,2016,1,1,LD,2,1821.98,74,49301.ISMAIL.MARMAR,2016-04-07,0,1
30,175,667,0,0800-000,1.01.01,000800.00M,2016,1,1,LD,2,9036.68,186,49301.ISMAIL.MARMAR,2016-04-07,0,1
21,96,109,109,0200-000,1.01,,2016,1,1,APV,1,0,0,49301.ISMAIL.MARMAR,2016-03-28,0,1
30,299,1065,0,1000-100,1.01.01,010106.001.011.007.002,2016,1,1,LD,1,494.01,11.5,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,299,1066,0,1000-100,1.01.01,010106.001.011.008.002,2016,1,1,LD,1,1703,51,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,318,1109,0,1000-100,1.01.01,010108.000.001,2016,1,1,LD,1,15456.14,362.5,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,291,1046,0,1000-100,1.01.01,010108.000.002,2016,1,1,LD,1,2762.63,56,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,251,912,0,1000-100,1.01.01,010301.001.001,2016,1,1,LD,1,226.77,5,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,272,981,0,1000-100,1.01.01,010301.001.002,2016,1,1,LD,1,4269.01,79,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,306,1088,0,1000-100,1.01.01,010602.000.001,2016,1,1,LD,1,22312.04,405.5,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,235,858,0,1000-100,1.01.01,010802.000.001,2016,1,1,LD,1,5083.04,75.5,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,307,1089,0,1000-100,1.01.01,010802.000.003,2016,1,1,LD,1,5469.58,116,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,317,1108,0,1000-100,1.01.01,010802.000.005,2016,1,1,LD,1,19120.21,417,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,303,1081,0,1000-100,1.01.01,010802.000.006,2016,1,1,LD,1,6161.62,144,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,287,1036,0,1000-100,1.01.01,010802.000.007,2016,1,1,LD,1,1380.31,21,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,283,1025,0,1000-100,1.01.01,020101.001.001,2016,1,1,LD,1,2050.78,52.5,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,283,1026,0,1000-100,1.01.01,020101.001.003,2016,1,1,LD,1,761.72,19.5,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,249,907,0,1000-100,1.01.01,020101.001.004,2016,1,1,LD,1,11232.59,257,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,259,931,0,1000-100,1.01.01,020101.001.007,2016,1,1,LD,1,147.06,1.5,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,240,878,0,1000-100,1.01.01,020101.001.008,2016,1,1,LD,1,3666.67,108,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,271,975,0,1000-100,1.01.01,020107.002.001,2016,1,1,LD,1,328.13,10,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,316,1106,0,1000-100,1.01.01,020109.000.001,2016,1,1,LD,1,10227.36,159.5,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,315,1104,0,1000-100,1.01.01,020401.000.001,2016,1,1,LD,1,14358.33,237.5,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,309,1094,0,1000-100,1.01.01,020701.000.001,2016,1,1,LD,1,2512.5,72,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,263,949,0,1000-100,1.01.01,020801.000.001,2016,1,1,LD,1,3113.42,43,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,296,1057,0,1000-100,1.01.01,020804.000.001,2016,1,1,LD,1,9466.67,152,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,311,1097,0,2000-000,1.01.01,BP0000.000.001,2016,1,1,LD,1,34018.03,529.5,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,278,1007,0,2000-000,1.01.01,BP0000.004.001,2016,1,1,LD,1,1600.73,38,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,153,579,0,0800-000,1.01.01,000800.00R,2016,1,1,LD,2,147.72,6,49301.ISMAIL.MARMAR,2016-04-07,0,1
30,154,581,0,0800-000,1.01.01,000850.001.001,2016,1,1,LD,2,3854.41,102,49301.ISMAIL.MARMAR,2016-04-07,0,1
30,150,571,0,0800-000,1.01.01,000850.001.003,2016,1,1,LD,2,2151.43,49,49301.ISMAIL.MARMAR,2016-04-07,0,1
30,121,421,0,0800-000,1.01.01,000850.001.004,2016,1,1,LD,2,888.89,12,49301.ISMAIL.MARMAR,2016-04-07,0,1
30,121,422,0,0800-000,1.01.01,000850.001.005,2016,1,1,LD,2,1481.48,20,49301.ISMAIL.MARMAR,2016-04-07,0,1
30,194,724,0,0800-000,1.01.01,000850.001.006,2016,1,1,LD,2,5393.77,98,49301.ISMAIL.MARMAR,2016-04-07,0,1
