FS_CD,FS_LN_KEY,ACCT_ID,MODIFIED_BY,TIME_STAMP,COMPANY_ID,S_CF_ACCT_TYP_CD,S_CF_ACTVTY_CD,ROWVERSION
INCSTM,21,0425-000,SGOSS,2016-02-13,1,,,0
INCSTM,21,0422-000,SGOSS,2016-02-13,1,,,0
INCSTM,21,0421-000,SGOSS,2016-02-13,1,,,0
INCSTM,21,0420-000,SGOSS,2016-02-13,1,,,0
INCSTM,21,0416-000,SGOSS,2016-02-13,1,,,0
INCSTM,21,0415-000,SGOSS,2016-02-13,1,,,0
INCSTM,21,0411-000,SGOSS,2016-02-13,1,,,0
INCSTM,21,0409-000,SGOSS,2016-02-13,1,,,0
INCSTM,21,0407-000,SGOSS,2016-02-13,1,,,0
INCSTM,21,0406-000,SGOSS,2016-02-13,1,,,0
INCSTM,21,0405-000,SGOSS,2016-02-13,1,,,0
INCSTM,21,0404-000,SGOSS,2016-02-13,1,,,0
INCSTM,21,0403-000,SGOSS,2016-02-13,1,,,0
INCSTM,20,1299-000,SGOSS,2016-02-13,1,,,0
INCSTM,18,1110-800,SGOSS,2016-02-13,1,,,0
INCSTM,17,1120-999,SGOSS,2016-02-13,1,,,0
INCSTM,16,1110-000,SGOSS,2016-02-13,1,,,0
INCSTM,15,1100-005,SGOSS,2016-02-13,1,,,0
INCSTM,14,1100-000,SGOSS,2016-02-13,1,,,0
INCSTM,11,1030-999,SGOSS,2016-02-13,1,,,0
INCSTM,79,0800-000,JLAPINGTON,2017-02-21,1,,,0
INCSTM,79,0800-001,JLAPINGTON,2017-02-21,1,,,0
INCSTM,79,0805-000,JLAPINGTON,2017-02-21,1,,,0
INCSTM,79,0808-000,JLAPINGTON,2017-02-21,1,,,0
INCSTM,79,0810-00A,JLAPINGTON,2017-02-21,1,,,0
INCSTM,28,2110-000,SGOSS,2016-02-13,1,,,0
INCSTM,28,2100-005,SGOSS,2016-02-13,1,,,0
INCSTM,28,2100-000,SGOSS,2016-02-13,1,,,0
INCSTM,28,2040-005,SGOSS,2016-02-13,1,,,0
INCSTM,28,2040-000,SGOSS,2016-02-13,1,,,0
INCSTM,28,2020-000,SGOSS,2016-02-13,1,,,0
INCSTM,28,2010-010,SGOSS,2016-02-13,1,,,0
INCSTM,28,2010-000,SGOSS,2016-02-13,1,,,0
INCSTM,28,0783-00R,SGOSS,2016-02-13,1,,,0
INCSTM,28,0783-00M,SGOSS,2016-02-13,1,,,0
INCSTM,28,0783-00E,SGOSS,2016-02-13,1,,,0
INCSTM,28,0783-00C,SGOSS,2016-02-13,1,,,0
INCSTM,28,0783-00B,SGOSS,2016-02-13,1,,,0
INCSTM,28,0783-00A,SGOSS,2016-02-13,1,,,0
INCSTM,28,0700-000,SGOSS,2016-02-13,1,,,0
BALSHT,20,0135-005,49301.ISMAIL.MARMAR,2017-05-17,1,,,0
INCSTM,24,MJAC-OCS,JLAPINGTON,2017-08-09,1,,,0
BALSHT,26,0230-0DE,SGOSS,2016-02-13,1,,,0
INCSTM,29,DFRS-100,SGOSS,2016-02-13,1,,,0
INCSTM,29,DFRS-101,SGOSS,2016-02-13,1,,,0
INCSTM,29,DFRS-300,SGOSS,2016-02-13,1,,,0
INCSTM,29,DFRS-301,SGOSS,2016-02-13,1,,,0
INCSTM,24,MJBD-OCS,JLAPINGTON,2017-08-09,1,,,0
INCSTM,24,MJCN-OCS,JLAPINGTON,2017-08-09,1,,,0
INCSTM,24,MJEM-OCS,JLAPINGTON,2017-08-09,1,,,0
INCSTM,12,1020-800,SGOSS,2016-02-13,1,,,0
INCSTM,79,0810-00B,JLAPINGTON,2017-02-21,1,,,0
INCSTM,79,0810-00E,JLAPINGTON,2017-02-21,1,,,0
INCSTM,79,0810-00F,JLAPINGTON,2017-02-21,1,,,0
INCSTM,79,0810-00H,JLAPINGTON,2017-02-21,1,,,0
INCSTM,79,0810-00I,JLAPINGTON,2017-02-21,1,,,0
INCSTM,79,0810-00M,JLAPINGTON,2017-02-21,1,,,0
INCSTM,79,0810-00P,JLAPINGTON,2017-02-21,1,,,0
INCSTM,79,0810-00R,JLAPINGTON,2017-02-21,1,,,0
INCSTM,9,1040-999,SGOSS,2016-02-13,1,,,0
INCSTM,24,0583-00C,SGOSS,2016-02-13,1,,,0
INCSTM,25,0583-10C,SGOSS,2016-02-13,1,,,0
INCSTM,27,0683-00P,SGOSS,2016-02-13,1,,,0
INCSTM,21,0489-01H,SGOSS,2016-02-13,1,,,0
INCSTM,79,0811-000,JLAPINGTON,2017-02-21,1,,,0
INCSTM,28,2000-000,SGOSS,2016-02-13,1,,,0
INCSTM,28,2000-100,SGOSS,2016-02-13,1,,,0
INCSTM,21,0489-02H,SGOSS,2016-02-13,1,,,0
BALSHT,38,0400-000,SGOSS,2016-02-13,1,,,0
INCSTM,27,0683-00C,SGOSS,2016-02-13,1,,,0
INCSTM,27,0600-000,SGOSS,2016-02-13,1,,,0
INCSTM,34,0999-060,SGOSS,2016-02-13,1,,,0
INCSTM,32,0940-000,SGOSS,2016-02-13,1,,,0
INCSTM,31,0940-010,SGOSS,2016-02-13,1,,,0
INCSTM,30,0940-020,SGOSS,2016-02-13,1,,,0
INCSTM,79,0812-000,JLAPINGTON,2017-02-21,1,,,0
INCSTM,79,0813-000,JLAPINGTON,2017-02-21,1,,,0
INCSTM,79,0814-000,JLAPINGTON,2017-02-21,1,,,0
INCSTM,79,0815-000,JLAPINGTON,2017-02-21,1,,,0
