PROJ_ID,ORG_ID,ACCT_ID,FY_CD,DIR_AMT,DIR_ALLOW_AMT,DIR_HRS,DIR_ALLOW_HRS,FEE_ON_DIR_AMT,FEE_ON_HRS_AMT,MARKUP_FEE_AMT,TOT_REV_MARKUP_AMT,MODIFIED_BY,TIME_STAMP,TOT_REV_UNITS_AMT,TOT_REV_TM_LAB_AMT,BURD_AMT,AL_BURD_AMT,COM_AMT,COM_AL_AMT,FEE_BURD_AMT,OTH_FEE_AMT,TOT_REV_AMT,OVER_FEE_AMT,OVER_TOT_AMT,REALLOC_AMT,TOT_AL_EXP_AMT,REV_ADJ_AMT,ACCT_FUNC_NO,OVER_CST_AMT,UNITS_QTY,AL_UNITS_QTY,ROWVERSION,COMPANY_ID,DISC_AMT,AWARD_FEE_AMT,OVER_AWRD_AMT,RETRO_AWRD_AMT,TOT_AWD_FEE_AMT,AWARD_FEE_ADJ_AMT
000501.000.003,1.01,0517-115,2016,8816.71,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.003,1.01,0517-120,2016,247.86,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.003,1.01,0520-100,2016,58.78,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.003,1.01,0522-100,2016,958,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.003,1.01,0536-100,2016,4645,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.003,1.01,0541-100,2016,102.36,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.003,1.01,0560-100,2016,1965.5,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.003,1.01,0561-100,2016,5992.11,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.003,1.01,0579-100,2016,3812.5,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.003,1.01.01,0500-100,2016,416168.21,0,4380.5,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,136628.02,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
000501.000.004,1.01,0512-100,2016,2790,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.004,1.01,0515-100,2016,1440,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.004,1.01,0517-110,2016,362.97,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.004,1.01,0549-100,2016,232.5,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.004,1.01,0560-100,2016,14283,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.004,1.01.01,0500-100,2016,49359.17,0,941,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,16204.62,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
000501.000.005.001,1.01.01,0500-100,2016,333.89,0,9,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,109.62,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
000501.000.005.002,1.01,0519-100,2016,55148,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.005.002,1.01.01,0500-100,2016,41901.06,0,1263.25,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,13756.12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
000501.000.005.003,1.01,0517-100,2016,640.2,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.005.003,1.01,0517-105,2016,452,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.005.003,1.01,0517-110,2016,982.07,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.005.003,1.01,0517-115,2016,129.6,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.005.003,1.01,0517-120,2016,286.41,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.005.003,1.01,0519-100,2016,4049,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.005.003,1.01,0520-100,2016,38.84,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.005.003,1.01.01,0500-100,2016,40797.32,0,1203,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,13393.76,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
000501.000.005.004,1.01.01,0500-100,2016,17959.16,0,364.5,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,5895.99,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
