PROJ_ID,ORG_ID,POOL_NO,ALLOC_GRP_NO,ACCT_ID,FY_CD,MODIFIED_BY,TIME_STAMP,BURD_AMT,ALLOW_BURD_AMT,COM_AMT,COM_ALLOW_AMT,ROWVERSION,COMPANY_ID,DISC_AMT
010105.004.001.001.004,1.01,160,1,1100-000,2016,JLAPINGTON,2017-06-28,1119.96,1119.96,0,0,0,1,0
000501.000.005.002,1.01.01,110,1,0500-100,2016,JLAPINGTON,2017-06-28,13756.12,0,0,0,0,1,0
010105.004.001.002,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,154.42,154.42,0,0,0,1,0
010603.000.001,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,110801.64,110801.64,0,0,0,1,0
020601.000.001,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,666.59,0,0,0,0,1,0
010105.004.002.001.004,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,78.76,78.76,0,0,0,1,0
010107.00A.003.005.001,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,1121.8,1121.8,0,0,0,1,0
000800.00A,1.01.01,300,1,0800-000,2016,JLAPINGTON,2017-06-28,0,0,0,0,0,1,0
000850.001.006,1.01.01,300,1,0800-000,2016,JLAPINGTON,2017-06-28,0,0,0,0,0,1,0
010107.00A.003.004.002,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,32.83,32.83,0,0,0,1,0
020602.003.000.000,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,1942.08,0,0,0,0,1,0
010102.002.011.004,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,3033.36,3033.36,0,0,0,1,0
010105.003.002.005.003,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,212.72,212.72,0,0,0,1,0
010802.000.004,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,93.72,93.72,0,0,0,1,0
020101.001.003,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,1156.8,0,0,0,0,1,0
020110.000.003.012,1.01,160,1,1100-000,2016,JLAPINGTON,2017-06-28,11077.36,11077.36,0,0,0,1,0
010106.001.011.003.002,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,1305.1,1305.1,0,0,0,1,0
010105.004.001.003,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,230.72,230.72,0,0,0,1,0
010802.002.006,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,26965.34,26965.34,0,0,0,1,0
BP0000.008.002,1.01.01,120,1,2000-000,2016,JLAPINGTON,2017-06-28,0,0,0,0,0,1,0
000501.000.000,1.01.01,110,1,0500-100,2016,JLAPINGTON,2017-06-28,3801.86,0,0,0,0,1,0
010105.003.002.009.005,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,2953.81,2953.81,0,0,0,1,0
020110.000.001.004,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,344355.9,344355.9,0,0,0,1,0
020602.001.002.000,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,1532.04,0,0,0,0,1,0
BP0000.000.001,1.01.01,120,1,2000-000,2016,JLAPINGTON,2017-06-28,0,0,0,0,0,1,0
010106.001.011.003.003,1.01,175,1,1100-000,2016,JLAPINGTON,2017-06-28,64.77,64.77,0,0,0,1,0
020101.002.004,1.01,160,1,1100-000,2016,JLAPINGTON,2017-06-28,3071.66,0,0,0,0,1,0
020110.000.003.016,1.01,175,1,1100-000,2016,JLAPINGTON,2017-06-28,281.75,0,0,0,0,1,0
010105.003.002.001.002,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,40.47,40.47,0,0,0,1,0
